Provider_ID,Hospital_Name,Period,Avg_Spending_Per_Episode_Hospital,Avg_Spending_Per_Episode_State,Avg_Spending_Per_Episode_Nation,Percent_of_Spending_Hospital,Percent_of_Spending_State,Percent_of_Spending_Nation, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments,State,Measure Response,Condition,Score,Sample,Measure Name,Value,Payment measure name,Payment category,Denominator,Payment,Lower estimate,Higher estimate,Value of care display name,Value of care category,"Measure Name_x_Able to track patients’ lab results, tests, and referrals electronically between visits",Measure Name_x_General Surgery Registry,Measure Name_x_Multispecialty surgical registry,Measure Name_x_Nursing care registry,Measure Name_x_Patient Safety Culture,Measure Name_x_Safe surgery checklist use (inpatient),Measure Name_x_Safe surgery checklist use (outpatient),Measure Name_y_Door to diagnostic eval,Measure Name_y_ED1,Measure Name_y_ED2,Measure Name_y_Emergency department volume,Measure Name_y_Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,Measure Name_y_Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,Measure Name_y_External Beam Radiotherapy for Bone Metastases,Measure Name_y_Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Measure Name_y_Head CT results,Measure Name_y_Healthcare workers given influenza vaccination,Measure Name_y_Hospital acquired potentially preventable venous thromboembolism,Measure Name_y_Immunization for influenza,Measure Name_y_Improvement in Patient’s Visual Function within 90 Days Following Cataract Surgery,Measure Name_y_Left before being seen,Measure Name_y_Median Time to ECG,Measure Name_y_Median Time to Fibrinolysis,Measure Name_y_Median Time to Transfer to Another Facility for Acute Coronary Intervention,Measure Name_y_Median time to pain med,Measure Name_y_OP 18,"Measure Name_y_Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary"
50378,PACIFICA HOSPITAL OF THE VALLEY,1 through 30 days After Discharge from Index Hospital Admission,$1823,$2562,$2745,12.56%,12.29%,13.52%,12,$13365.08,$7615.00,$6488.33,CA,N,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.018249,Payment for heart failure patients,No Different than the National Average Payment,34,"$15,864","$13,558","$18,407",Value of Care Heart Failure measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50380,GOOD SAMARITAN HOSPITAL,1 through 30 days After Discharge from Index Hospital Admission,$2416,$2562,$2745,11.38%,12.29%,13.52%,17,$69223.47,$11721.64,$7132.82,CA,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.020377,Payment for heart failure patients,Greater than the National Average Payment,524,"$17,321","$16,334","$18,347",Value of Care Heart Failure measure,Average mortality and higher payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,1 through 30 days After Discharge from Index Hospital Admission,$80,$121,$122,0.36%,0.58%,0.6%,17,$42287.47,$9044.00,$7859.88,CA,Yes,Emergency Department,1,100494,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.142974,Payment for hip/knee replacement patients,No Different than the National Average Payment,206,"$23,636","$22,478","$24,867",Value of Care hip/knee replacement measure,Average complications and average payment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50390,HEMET VALLEY MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,19,$36866.31,$7513.31,$6508.89,CA,Y,Emergency Department,181,343,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.048570,Payment for heart attack patients,Greater than the National Average Payment,105,"$25,805","$23,242","$28,720",Value of Care Heart Attack measure,Average mortality and higher payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50393,PIH HOSPITAL - DOWNEY,Complete Episode,$21417,$20846,$20302,100%,100%,100%,19,$102582.47,$15542.73,$14644.26,CA,Y,Pregnancy and Delivery Care,1,139,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.088553,Payment for hip/knee replacement patients,Greater than the National Average Payment,100,"$25,483","$23,749","$27,349",Value of Care hip/knee replacement measure,Average complications and higher payment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,During Index Hospital Admission,$9791,$9959,$9676,50%,47.78%,47.66%,21,$60448.47,$6967.23,$6110.85,CA,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .964412,Payment for heart attack patients,No Different than the National Average Payment,142,"$24,930","$22,748","$27,445",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50396,SANTA BARBARA COTTAGE HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$7,$7,$7,0.03%,0.04%,0.04%,28,$37691.96,$7533.50,$6573.50,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .997175,Payment for pneumonia patients,No Different than the National Average Payment,624,"$16,607","$15,785","$17,395",Value of Care Pneumonia measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50397,COALINGA REGIONAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$0,$3,$2,0%,0.01%,0.01%,12,$10487.33,$9347.16,$8409.16,CA,N,Emergency Department,342,58,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .670987,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50407,CHINESE HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$271,$538,$536,1.86%,2.58%,2.64%,13,$16672.30,$6949.00,$5996.07,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .830406,Payment for heart attack patients,No Different than the National Average Payment,28,"$21,997","$19,360","$25,207",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,1 through 30 days After Discharge from Index Hospital Admission,$934,$636,$697,4.75%,3.05%,3.43%,11,$17455.81,$6400.54,$5477.27,CA,Y,Colonoscopy care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .837933,Payment for heart failure patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Failure measure,Not Available,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50414,MERCY HOSPITAL OF FOLSOM,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,13,$37205.46,$7194.69,$6003.53,CA,N,Emergency Department,98,44,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .924138,Payment for hip/knee replacement patients,Less than the National Average Payment,310,"$20,380","$19,639","$21,198",Value of Care hip/knee replacement measure,Average complications and lower payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50417,SUTTER COAST HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$0,$0,$0,0%,0%,0%,13,$33610.46,$9997.61,$8965.00,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .851781,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50423,PALO VERDE HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$0,$11,$11,0%,0.05%,0.05%,15,$36608.13,$12951.13,$12349.53,CA,Y,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .962717,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50424,SCRIPPS GREEN HOSPITAL,During Index Hospital Admission,$14455,$9959,$9676,60.8%,47.78%,47.66%,11,$62924.09,$7309.81,$6289.45,CA,N,Colonoscopy care,93,100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .951840,Payment for heart failure patients,No Different than the National Average Payment,289,"$16,878","$15,648","$18,149",Value of Care Heart Failure measure,Better mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,14,$42662.50,$13058.21,$12090.21,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .819389,Payment for pneumonia patients,No Different than the National Average Payment,31,"$17,646","$14,947","$20,513",Value of Care Pneumonia measure,Average mortality and average payment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50426,WEST ANAHEIM MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$618,$538,$536,2.54%,2.58%,2.64%,17,$51197.88,$12439.70,$11648.17,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.076480,Payment for pneumonia patients,Greater than the National Average Payment,380,"$20,971","$19,739","$22,216",Value of Care Pneumonia measure,Better mortality and higher payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50438,HUNTINGTON MEMORIAL HOSPITAL,During Index Hospital Admission,$9605,$9959,$9676,48.75%,47.78%,47.66%,19,$31305.47,$7804.00,$6738.31,CA,Y,Pregnancy and Delivery Care,9,93,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .966686,Payment for pneumonia patients,Greater than the National Average Payment,785,"$17,812","$17,052","$18,595",Value of Care Pneumonia measure,Better mortality and higher payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50441,STANFORD HEALTH CARE,1 to 3 days Prior to Index Hospital Admission,$8,$11,$11,0.03%,0.05%,0.05%,27,$90836.48,$12396.29,$11483.40,CA,Y,Preventive Care,94,14406,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .996132,Payment for heart failure patients,No Different than the National Average Payment,427,"$16,585","$15,578","$17,661",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50444,MERCY MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,11,$53105.36,$8552.90,$7732.54,CA,Yes,Preventive Care,97,498,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .924617,Payment for heart failure patients,Less than the National Average Payment,422,"$15,126","$14,182","$16,130",Value of Care Heart Failure measure,Average mortality and lower payment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50454,UCSF MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$443,$538,$536,1.75%,2.58%,2.64%,15,$48627.73,$12035.13,$11211.40,CA,Yes,Heart Attack or Chest Pain,10,14,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .977727,Payment for hip/knee replacement patients,No Different than the National Average Payment,397,"$23,081","$22,254","$23,925",Value of Care hip/knee replacement measure,Average complications and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50455,SAN JOAQUIN COMMUNITY HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$11,$7,$7,0.06%,0.04%,0.04%,27,$32546.59,$7024.55,$6152.40,CA,Yes,Emergency Department,60,15,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .982236,Payment for heart attack patients,No Different than the National Average Payment,170,"$24,180","$21,966","$26,516",Value of Care Heart Attack measure,Average mortality and average payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50457,ST MARY'S MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,15,$157993.93,$24491.26,$22500.00,CA,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .930058,Payment for hip/knee replacement patients,Less than the National Average Payment,333,"$21,470","$20,673","$22,317",Value of Care hip/knee replacement measure,Average complications and lower payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50464,DOCTORS MEDICAL CENTER,1 through 30 days After Discharge from Index Hospital Admission,$2150,$2562,$2745,11.03%,12.29%,13.52%,35,$72225.31,$8882.77,$7953.97,CA,Y,Colonoscopy care,95,126,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .976921,Payment for hip/knee replacement patients,No Different than the National Average Payment,180,"$22,742","$21,581","$23,921",Value of Care hip/knee replacement measure,Average complications and average payment,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50468,MEMORIAL HOSPITAL OF GARDENA,1 to 3 days Prior to Index Hospital Admission,$43,$76,$126,0.16%,0.37%,0.62%,15,$43183.53,$16379.40,$15484.46,CA,Yes,Preventive Care,71,1185,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.219316,Payment for pneumonia patients,Greater than the National Average Payment,192,"$26,179","$24,232","$28,135",Value of Care Pneumonia measure,Better mortality and higher payment,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50471,GOOD SAMARITAN HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$3,$3,$2,0.01%,0.01%,0.01%,29,$119555.93,$18576.72,$17878.48,CA,N,Heart Attack or Chest Pain,13,27,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .993497,Payment for heart failure patients,Greater than the National Average Payment,333,"$18,430","$17,200","$19,758",Value of Care Heart Failure measure,Better mortality and higher payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50481,WEST HILLS HOSPITAL & MEDICAL CENTER,1 through 30 days After Discharge from Index Hospital Admission,$2052,$2562,$2745,9.98%,12.29%,13.52%,16,$64346.68,$6770.06,$5718.81,CA,Yes,Emergency Department,310,1106,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.019420,Payment for hip/knee replacement patients,No Different than the National Average Payment,306,"$23,381","$22,435","$24,375",Value of Care hip/knee replacement measure,Average complications and average payment,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50485,LONG BEACH MEMORIAL MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,23,$51813.13,$8349.60,$5585.21,CA,Y,Cancer care,42,31,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.018897,Payment for pneumonia patients,Greater than the National Average Payment,299,"$20,718","$19,372","$22,140",Value of Care Pneumonia measure,Average mortality and higher payment,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50488,EDEN MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$0,$0,$0,0%,0%,0%,26,$33223.11,$7901.15,$7255.46,CA,Yes,Emergency Department,384,852,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.044817,Payment for heart attack patients,No Different than the National Average Payment,77,"$25,363","$22,597","$28,473",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50492,CLOVIS COMMUNITY MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,14,$36214.64,$7923.71,$6877.14,CA,Y,Emergency Department,1091,458,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.037519,Payment for hip/knee replacement patients,Greater than the National Average Payment,242,"$23,906","$22,786","$25,054",Value of Care hip/knee replacement measure,Average complications and higher payment,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,1 through 30 days After Discharge from Index Hospital Admission,$40,$83,$85,0.19%,0.4%,0.42%,20,$79033.50,$8485.00,$7582.60,CA,Y,Colonoscopy care,100,61,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .968184,Payment for pneumonia patients,No Different than the National Average Payment,451,"$16,916","$16,003","$17,857",Value of Care Pneumonia measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50498,SUTTER AUBURN FAITH HOSPITAL,1 through 30 days After Discharge from Index Hospital Admission,$513,$636,$697,2.96%,3.05%,3.43%,14,$52632.14,$18589.78,$9770.57,CA,Y,Preventive Care,84,844,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .944650,Payment for heart attack patients,No Different than the National Average Payment,46,"$22,050","$19,496","$25,043",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50502,SAINT VINCENT MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$14,$7,$7,0.06%,0.04%,0.04%,12,$39118.58,$9619.83,$8687.16,CA,N,Emergency Department,"Medium (20,000 - 39,999 patients annually)",30720,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.031418,Payment for pneumonia patients,Greater than the National Average Payment,432,"$20,123","$18,952","$21,241",Value of Care Pneumonia measure,Better mortality and higher payment,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,33,$52029.42,$13449.72,$10676.84,CA,Yes,Blood Clot Prevention and Treatment,0,11,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .986809,Payment for heart attack patients,No Different than the National Average Payment,225,"$22,462","$20,777","$24,289",Value of Care Heart Attack measure,Average mortality and average payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50506,SIERRA VISTA REGIONAL MEDICAL CENTER,1 through 30 days After Discharge from Index Hospital Admission,$977,$1122,$1059,5.02%,5.38%,5.22%,36,$83908.94,$8243.13,$7214.36,CA,Y,Cancer care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .977262,Payment for heart failure patients,No Different than the National Average Payment,75,"$15,652","$13,719","$17,749",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50510,KAISER FOUNDATION HOSPITAL - SAN RAFAEL,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,24,$28275.75,$14060.54,$13358.37,CA,Not Available,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .862623,Payment for pneumonia patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Pneumonia measure,Not Available,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50512,KAISER FOUNDATION HOSPITAL - FREMONT,1 through 30 days After Discharge from Index Hospital Admission,$807,$1122,$1059,5.37%,5.38%,5.22%,12,$30092.58,$9005.00,$8064.33,CA,Not Available,Pregnancy and Delivery Care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .842456,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50515,KAISER FOUNDATION HOSPITAL - SAN DIEGO,During Index Hospital Admission,$8187,$9959,$9676,58.06%,47.78%,47.66%,14,$17373.92,$6212.92,$5575.21,CA,Not Available,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .764419,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50516,MERCY SAN JUAN MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$2,$3,$2,0.01%,0.01%,0.01%,39,$54446.46,$9882.15,$7246.15,CA,Yes,Blood Clot Prevention and Treatment,0,41,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .937993,Payment for heart failure patients,No Different than the National Average Payment,475,"$15,469","$14,572","$16,416",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50517,VICTOR VALLEY GLOBAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$400,$538,$536,2.32%,2.58%,2.64%,20,$34379.30,$10507.75,$9608.55,CA,Y,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .948419,Payment for hip/knee replacement patients,No Different than the National Average Payment,59,"$24,309","$22,196","$26,576",Value of Care hip/knee replacement measure,Average complications and average payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50523,SUTTER DELTA MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,11,$45380.00,$8296.36,$7273.09,CA,Y,Emergency Department,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .944039,Payment for heart attack patients,Less than the National Average Payment,170,"$20,856","$19,091","$22,727",Value of Care Heart Attack measure,Average mortality and lower payment,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50526,HUNTINGTON BEACH HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$47,$76,$126,0.21%,0.37%,0.62%,37,$57195.18,$14576.81,$14067.37,CA,Y,Emergency Department,52,105,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.141632,Payment for heart attack patients,No Different than the National Average Payment,44,"$22,929","$20,087","$26,324",Value of Care Heart Attack measure,Average mortality and average payment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50528,MEMORIAL HOSPITAL LOS BANOS,1 through 30 days After Discharge from Index Hospital Admission,$2913,$3410,$3010,19.46%,16.36%,14.83%,16,$64315.31,$28103.31,$27474.56,CA,N,Preventive Care,99,219,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .874228,Payment for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care Heart Attack measure,Not Available,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50534,JOHN F KENNEDY MEMORIAL HOSPITAL,1 to 3 days Prior to Index Hospital Admission,$2,$3,$2,0.01%,0.01%,0.01%,12,$172018.00,$19525.91,$18684.83,CA,Y,Cancer care,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .971230,Payment for heart failure patients,No Different than the National Average Payment,76,"$15,416","$13,548","$17,532",Value of Care Heart Failure measure,Average mortality and average payment,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50537,SUTTER DAVIS HOSPITAL,1 through 30 days After Discharge from Index Hospital Admission,$1125,$2562,$2745,6.85%,12.29%,13.52%,14,$31155.00,$8454.78,$6334.64,CA,N,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .877700,Payment for heart failure patients,No Different than the National Average Payment,65,"$15,301","$13,404","$17,615",Value of Care Heart Failure measure,Average mortality and average payment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,1 to 3 days Prior to Index Hospital Admission,$0,$3,$2,0%,0.01%,0.01%,13,$42142.38,$14612.30,$13925.53,CA,Y,Cataract surgery outcome,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .901148,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50543,COLLEGE HOSPITAL COSTA MESA,1 to 3 days Prior to Index Hospital Admission,$34,$4,$6,0.32%,0.02%,0.03%,179,$31164.00,$9885.27,$8351.27,CA,Yes,Heart Attack or Chest Pain,Not Available,Not Available,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .971762,Payment for hip/knee replacement patients,Not Available,Not Available,Not Available,Not Available,Not Available,Value of Care hip/knee replacement measure,Not Available,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,11,$56328.90,$7835.00,$6914.63,CA,Yes,Heart Attack or Chest Pain,97,34,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .999982,Payment for hip/knee replacement patients,Less than the National Average Payment,902,"$21,150","$20,671","$21,656",Value of Care hip/knee replacement measure,Average complications and lower payment,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50551,LOS ALAMITOS MEDICAL CENTER,During Index Hospital Admission,$0,$0,$0,0%,0%,0%,13,$64229.61,$6719.38,$5177.23,CA,Yes,Blood Clot Prevention and Treatment,0,16,Medicare hospital spending per patient (Medicare Spending per Beneficiary), 1.067249,Payment for hip/knee replacement patients,Greater than the National Average Payment,212,"$23,828","$22,657","$25,032",Value of Care hip/knee replacement measure,Average complications and higher payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50557,MEMORIAL MEDICAL CENTER,1 to 3 days Prior to Index Hospital Admission,$743,$538,$536,3.67%,2.58%,2.64%,41,$60264.97,$7457.39,$6440.51,CA,Y,Emergency Department,5,82373,Medicare hospital spending per patient (Medicare Spending per Beneficiary),  .962329,Payment for hip/knee replacement patients,Less than the National Average Payment,308,"$21,126","$20,341","$22,021",Value of Care hip/knee replacement measure,Average complications and lower payment,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
