Provider_ID,Condition,Measure Name,Score,Sample
330270,Preventive Care,Immunization for influenza,90.0,624.0
330307,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,84.0
330241,Preventive Care,Immunization for influenza,93.0,1044.0
330241,Emergency Department,OP 18,202.0,730.0
330285,Emergency Department,Door to diagnostic eval,15.0,383.0
330267,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,94.0,17.0
330270,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,57.0
330267,Emergency Department,OP 18,138.0,362.0
330276,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,31.0,13.0
330240,Emergency Department,Left before being seen,7.0,70281.0
330279,Preventive Care,Healthcare workers given influenza vaccination,87.0,4084.0
330267,Emergency Department,Door to diagnostic eval,11.0,380.0
330285,Preventive Care,Immunization for influenza,92.0,508.0
330240,Emergency Department,ED1,431.0,819.0
330259,Preventive Care,Healthcare workers given influenza vaccination,83.0,2405.0
330241,Emergency Department,Left before being seen,0.0,124749.0
330239,Heart Attack or Chest Pain,Aspirin at Arrival,95.0,156.0
330239,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,38.0
330240,Preventive Care,Immunization for influenza,97.0,512.0
330286,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,30.0
330245,Emergency Department,Median time to pain med,68.0,152.0
110030,Emergency Department,ED1,270.0,998.0
110030,Emergency Department,ED2,88.0,996.0
110030,Preventive Care,Immunization for influenza,98.0,589.0
110030,Preventive Care,Healthcare workers given influenza vaccination,90.0,1211.0
110030,Emergency Department,OP 18,165.0,492.0
110030,Emergency Department,Door to diagnostic eval,8.0,545.0
110030,Emergency Department,Median time to pain med,42.0,199.0
110030,Emergency Department,Left before being seen,0.0,59337.0
110030,Emergency Department,Head CT results,96.0,28.0
110030,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,42.0
110030,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,98.0,53.0
110030,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,18.0
110030,Heart Attack or Chest Pain,Median Time to ECG,8.0,20.0
110030,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,46.0
330273,Emergency Department,ED1,250.0,841.0
330307,Emergency Department,ED2,189.0,655.0
330246,Emergency Department,OP 18,190.0,353.0
330267,Cancer care,External Beam Radiotherapy for Bone Metastases,94.0,16.0
330241,Emergency Department,ED2,112.0,993.0
330279,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,67.0
330285,Emergency Department,ED2,266.0,751.0
330340,Emergency Department,OP 18,123.0,381.0
330261,Emergency Department,ED2,168.0,755.0
330240,Emergency Department,Median time to pain med,56.0,71.0
330285,Heart Attack or Chest Pain,Median Time to ECG,4.0,48.0
330279,Emergency Department,Door to diagnostic eval,19.0,406.0
330245,Emergency Department,Door to diagnostic eval,38.0,381.0
330307,Emergency Department,ED1,360.0,657.0
330241,Emergency Department,Median time to pain med,62.0,294.0
330307,Preventive Care,Healthcare workers given influenza vaccination,97.0,2003.0
330265,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,67.0,63.0
330286,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,7.0,42.0
330246,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,19.0
330246,Emergency Department,Left before being seen,3.0,23186.0
330246,Preventive Care,Healthcare workers given influenza vaccination,83.0,2828.0
330261,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,24.0,67.0
331302,Heart Attack or Chest Pain,Median Time to ECG,5.0,31.0
330331,Emergency Department,ED2,227.0,805.0
330240,Heart Attack or Chest Pain,Aspirin at Arrival,93.0,14.0
330276,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,96.0,70.0
330268,Emergency Department,ED2,96.0,376.0
330273,Emergency Department,Door to diagnostic eval,24.0,410.0
330246,Emergency Department,Median time to pain med,68.0,89.0
330395,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,89.0,35.0
330250,Emergency Department,ED2,145.0,849.0
330267,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,83.0,23.0
330240,Preventive Care,Healthcare workers given influenza vaccination,86.0,2902.0
330267,Heart Attack or Chest Pain,Median Time to ECG,8.0,59.0
330396,Preventive Care,Healthcare workers given influenza vaccination,96.0,3018.0
330250,Emergency Department,ED1,352.0,854.0
330239,Preventive Care,Healthcare workers given influenza vaccination,87.0,1375.0
330286,Preventive Care,Immunization for influenza,99.0,547.0
330285,Preventive Care,Healthcare workers given influenza vaccination,90.0,14824.0
330286,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,18.0
330268,Emergency Department,ED1,276.0,384.0
330259,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,38.0
330259,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,87.0,71.0
330279,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",1.0,173.0
330250,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,14.0,14.0
330332,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,275.0,75.0
330259,Emergency Department,Median time to pain med,55.0,73.0
330268,Emergency Department,Door to diagnostic eval,24.0,370.0
330277,Emergency Department,Median time to pain med,42.0,139.0
330268,Heart Attack or Chest Pain,Median Time to ECG,8.0,75.0
330332,Emergency Department,OP 18,189.0,397.0
330277,Emergency Department,ED1,267.0,734.0
330279,Preventive Care,Immunization for influenza,95.0,526.0
330277,Emergency Department,Head CT results,79.0,14.0
330332,Heart Attack or Chest Pain,Median Time to ECG,9.0,163.0
330267,Preventive Care,Immunization for influenza,97.0,525.0
330286,Emergency Department,OP 18,206.0,404.0
330276,Heart Attack or Chest Pain,Aspirin at Arrival,86.0,43.0
330239,Heart Attack or Chest Pain,Median Time to ECG,4.0,166.0
330241,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,95.0,37.0
330277,Emergency Department,Left before being seen,2.0,27234.0
330332,Emergency Department,ED1,429.0,1270.0
330331,Preventive Care,Immunization for influenza,93.0,557.0
330259,Emergency Department,Left before being seen,1.0,38455.0
110038,Emergency Department,ED1,350.0,751.0
110038,Emergency Department,ED2,162.0,751.0
330279,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,2.0,53.0
110038,Preventive Care,Immunization for influenza,92.0,594.0
110038,Preventive Care,Healthcare workers given influenza vaccination,97.0,2616.0
110038,Emergency Department,OP 18,184.0,475.0
110038,Emergency Department,Door to diagnostic eval,39.0,502.0
110038,Emergency Department,Median time to pain med,73.0,151.0
110038,Emergency Department,Left before being seen,5.0,35105.0
110038,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,67.0,95.0
110038,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,97.0,109.0
110038,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",3.0,107.0
110038,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,17.0
330241,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,74.0
330261,Heart Attack or Chest Pain,Median Time to ECG,8.0,31.0
330286,Emergency Department,Left before being seen,1.0,89732.0
330250,Preventive Care,Immunization for influenza,97.0,540.0
330268,Emergency Department,OP 18,104.0,365.0
330331,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,58.0,24.0
330331,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,66.0,96.0
330245,Emergency Department,Left before being seen,3.0,29219.0
330276,Emergency Department,Door to diagnostic eval,12.0,403.0
330265,Emergency Department,ED2,120.0,524.0
330267,Emergency Department,Left before being seen,0.0,40151.0
330259,Heart Attack or Chest Pain,Median Time to ECG,6.0,40.0
330261,Emergency Department,OP 18,147.0,360.0
330277,Preventive Care,Healthcare workers given influenza vaccination,100.0,1208.0
330307,Heart Attack or Chest Pain,Median Time to ECG,4.0,33.0
330264,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,99.0,189.0
330265,Preventive Care,Immunization for influenza,94.0,278.0
330239,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,13.0,15.0
330265,Emergency Department,OP 18,179.0,1165.0
330238,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,33.0
330307,Emergency Department,Left before being seen,3.0,29604.0
330273,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,70.0,15.0
330268,Heart Attack or Chest Pain,Aspirin at Arrival,97.0,74.0
110041,Emergency Department,ED1,261.0,531.0
110041,Emergency Department,ED2,95.0,531.0
110041,Preventive Care,Immunization for influenza,86.0,364.0
110041,Preventive Care,Healthcare workers given influenza vaccination,89.0,1161.0
110041,Emergency Department,OP 18,120.0,639.0
110041,Emergency Department,Door to diagnostic eval,24.0,683.0
110041,Emergency Department,Median time to pain med,63.0,169.0
110041,Emergency Department,Left before being seen,1.0,28828.0
110041,Emergency Department,Head CT results,79.0,14.0
110041,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,98.0,111.0
110041,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,203.0
110041,Cataract surgery outcome,Improvement in Patient’s Visual Function within 90 Days Following Cataract Surgery,96.0,52.0
110041,Heart Attack or Chest Pain,Aspirin at Arrival,97.0,102.0
110041,Heart Attack or Chest Pain,Median Time to ECG,0.0,103.0
110041,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,88.0
330286,Emergency Department,ED1,692.0,890.0
420030,Preventive Care,Immunization for influenza,98.0,497.0
330264,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,102.0
330246,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,50.0,36.0
330264,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,99.0,76.0
330285,Heart Attack or Chest Pain,Aspirin at Arrival,88.0,41.0
330245,Emergency Department,OP 18,206.0,339.0
330307,Emergency Department,Door to diagnostic eval,28.0,400.0
330276,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,34.0
330261,Preventive Care,Healthcare workers given influenza vaccination,93.0,2630.0
330276,Emergency Department,OP 18,115.0,376.0
330245,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,6.0,17.0
330286,Preventive Care,Healthcare workers given influenza vaccination,84.0,5731.0
330241,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,50.0
330239,Emergency Department,Left before being seen,4.0,39266.0
330277,Cancer care,External Beam Radiotherapy for Bone Metastases,88.0,16.0
330261,Emergency Department,Left before being seen,1.0,26058.0
330265,Emergency Department,ED1,293.0,525.0
330406,Preventive Care,Immunization for influenza,100.0,268.0
330261,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",3.0,37.0
330265,Emergency Department,Left before being seen,2.0,8284.0
330246,Emergency Department,ED2,338.0,594.0
330239,Cancer care,External Beam Radiotherapy for Bone Metastases,100.0,15.0
330332,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,79.0,14.0
330340,Preventive Care,Healthcare workers given influenza vaccination,95.0,1437.0
330340,Emergency Department,ED2,104.0,1894.0
330239,Preventive Care,Immunization for influenza,88.0,484.0
330241,Emergency Department,Door to diagnostic eval,35.0,763.0
330250,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,96.0,112.0
330332,Emergency Department,Median time to pain med,59.0,87.0
330331,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,17.0
330276,Emergency Department,ED1,244.0,376.0
330331,Emergency Department,Median time to pain med,58.0,85.0
330285,Emergency Department,ED1,572.0,751.0
330259,Emergency Department,Door to diagnostic eval,28.0,406.0
330331,Preventive Care,Healthcare workers given influenza vaccination,91.0,1981.0
330250,Heart Attack or Chest Pain,Median Time to ECG,11.0,26.0
330265,Preventive Care,Healthcare workers given influenza vaccination,86.0,821.0
330250,Heart Attack or Chest Pain,Aspirin at Arrival,96.0,24.0
330307,Emergency Department,Head CT results,94.0,18.0
330277,Emergency Department,Door to diagnostic eval,21.0,776.0
330259,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,6.0,18.0
330399,Emergency Department,ED1,594.0,688.0
330240,Emergency Department,OP 18,178.0,327.0
331305,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,17.0
330331,Emergency Department,OP 18,172.0,344.0
330307,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",2.0,40.0
330285,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,5.0,20.0
330250,Preventive Care,Healthcare workers given influenza vaccination,97.0,3057.0
330250,Emergency Department,Median time to pain med,54.0,226.0
330273,Emergency Department,Head CT results,93.0,14.0
330276,Preventive Care,Immunization for influenza,96.0,225.0
330340,Emergency Department,ED1,319.0,1905.0
330273,Heart Attack or Chest Pain,Median Time to ECG,5.0,76.0
330273,Emergency Department,Left before being seen,1.0,27387.0
330240,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,89.0,80.0
330273,Emergency Department,OP 18,154.0,374.0
330286,Emergency Department,Median time to pain med,52.0,199.0
330240,Heart Attack or Chest Pain,Median Time to ECG,15.0,15.0
330265,Cancer care,External Beam Radiotherapy for Bone Metastases,41.0,17.0
330246,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,29.0
330279,Emergency Department,ED2,162.0,658.0
330265,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,97.0,63.0
330239,Emergency Department,Median time to pain med,60.0,159.0
330250,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,24.0
330276,Emergency Department,Left before being seen,1.0,24044.0
330267,Emergency Department,ED1,361.0,901.0
330277,Emergency Department,OP 18,152.0,702.0
330264,Emergency Department,OP 18,149.0,703.0
330267,Emergency Department,ED2,217.0,899.0
330279,Emergency Department,Left before being seen,2.0,82926.0
330265,Emergency Department,Door to diagnostic eval,15.0,1397.0
330331,Emergency Department,ED1,396.0,805.0
330250,Emergency Department,Left before being seen,2.0,48750.0
330239,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,59.0,793.0
330265,Heart Attack or Chest Pain,Aspirin at Arrival,97.0,34.0
330239,Emergency Department,ED1,385.0,740.0
330261,Emergency Department,Median time to pain med,61.0,82.0
330276,Emergency Department,ED2,53.0,367.0
330286,Emergency Department,ED2,521.0,889.0
330264,Emergency Department,Door to diagnostic eval,28.0,744.0
330273,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,44.0
330264,Preventive Care,Immunization for influenza,100.0,522.0
330239,Emergency Department,OP 18,176.0,1424.0
330285,Emergency Department,Left before being seen,1.0,115817.0
330285,Cancer care,External Beam Radiotherapy for Bone Metastases,98.0,88.0
330239,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,0.0,713.0
330285,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,96.0,168.0
330332,Emergency Department,Left before being seen,0.0,34363.0
330268,Emergency Department,Left before being seen,1.0,11146.0
330331,Emergency Department,Left before being seen,0.0,33558.0
330259,Emergency Department,ED1,604.0,847.0
330331,Emergency Department,Door to diagnostic eval,15.0,394.0
330261,Emergency Department,ED1,381.0,755.0
330331,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,84.0,96.0
330261,Heart Attack or Chest Pain,Aspirin at Arrival,97.0,31.0
330332,Emergency Department,Head CT results,76.0,17.0
330268,Preventive Care,Healthcare workers given influenza vaccination,69.0,428.0
330245,Preventive Care,Immunization for influenza,79.0,594.0
330259,Emergency Department,OP 18,205.0,377.0
330395,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,86.0,81.0
340017,Emergency Department,Head CT results,56.0,18.0
340003,Preventive Care,Healthcare workers given influenza vaccination,94.0,1166.0
340020,Heart Attack or Chest Pain,Median Time to ECG,5.0,120.0
340008,Preventive Care,Healthcare workers given influenza vaccination,99.0,1318.0
330396,Heart Attack or Chest Pain,Median Time to ECG,10.0,68.0
340013,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,68.0,107.0
330350,Preventive Care,Immunization for influenza,70.0,487.0
340017,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,96.0,135.0
340008,Emergency Department,Median time to pain med,62.0,163.0
340008,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",3.0,36.0
330397,Preventive Care,Immunization for influenza,86.0,568.0
340032,Emergency Department,ED1,275.0,851.0
340017,Emergency Department,Door to diagnostic eval,33.0,407.0
340015,Preventive Care,Immunization for influenza,100.0,671.0
331317,Emergency Department,ED1,308.0,416.0
331311,Emergency Department,Door to diagnostic eval,14.0,381.0
331316,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,96.0,79.0
340020,Emergency Department,OP 18,123.0,459.0
340013,Heart Attack or Chest Pain,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,92.0,13.0
340014,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,88.0
331304,Emergency Department,Median time to pain med,58.0,11.0
340008,Preventive Care,Immunization for influenza,94.0,496.0
330340,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,91.0,280.0
331314,Emergency Department,Door to diagnostic eval,9.0,504.0
340021,Heart Attack or Chest Pain,Median Time to ECG,5.0,178.0
331319,Preventive Care,Healthcare workers given influenza vaccination,86.0,416.0
340015,Emergency Department,Head CT results,98.0,45.0
340053,Emergency Department,OP 18,162.0,444.0
331310,Preventive Care,Healthcare workers given influenza vaccination,87.0,359.0
340010,Emergency Department,Median time to pain med,73.0,105.0
340020,Emergency Department,ED1,260.0,800.0
340002,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,1.0,72.0
340003,Emergency Department,ED2,86.0,635.0
340010,Heart Attack or Chest Pain,Median Time to Fibrinolysis,21.0,27.0
340001,Emergency Department,Left before being seen,3.0,124270.0
340002,Cancer care,External Beam Radiotherapy for Bone Metastases,83.0,29.0
331317,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,20.0
330350,Emergency Department,Door to diagnostic eval,48.0,381.0
340017,Emergency Department,Median time to pain med,47.0,113.0
340003,Emergency Department,OP 18,159.0,461.0
340001,Emergency Department,ED1,320.0,606.0
340003,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,100.0,158.0
340017,Heart Attack or Chest Pain,Median Time to ECG,4.0,79.0
330394,Emergency Department,ED1,346.0,866.0
340017,Preventive Care,Immunization for influenza,98.0,576.0
340010,Emergency Department,Left before being seen,2.0,67630.0
330394,Preventive Care,Immunization for influenza,94.0,684.0
340015,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,26.0
330396,Emergency Department,Median time to pain med,52.0,210.0
330340,Emergency Department,Head CT results,58.0,12.0
340002,Emergency Department,ED2,148.0,499.0
330401,Preventive Care,Healthcare workers given influenza vaccination,92.0,2464.0
340003,Emergency Department,Head CT results,91.0,32.0
340002,Emergency Department,Door to diagnostic eval,20.0,404.0
340013,Emergency Department,ED1,261.0,524.0
340008,Emergency Department,ED1,365.0,772.0
330399,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,0.0,12.0
331301,Emergency Department,Door to diagnostic eval,26.0,34.0
331314,Emergency Department,ED1,189.0,419.0
340002,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,137.0
340003,Heart Attack or Chest Pain,Median Time to Transfer to Another Facility for Acute Coronary Intervention,50.0,12.0
331316,Emergency Department,ED2,104.0,502.0
331316,Emergency Department,Left before being seen,2.0,10164.0
340010,Preventive Care,Immunization for influenza,98.0,532.0
331314,Emergency Department,ED2,70.0,419.0
340014,Preventive Care,Healthcare workers given influenza vaccination,98.0,7091.0
340004,Preventive Care,Immunization for influenza,97.0,533.0
340053,Emergency Department,ED2,86.0,525.0
331316,Heart Attack or Chest Pain,Aspirin at Arrival,98.0,44.0
330396,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",4.0,26.0
340004,Emergency Department,ED1,367.0,691.0
340016,Preventive Care,Immunization for influenza,93.0,389.0
340001,Heart Attack or Chest Pain,Median Time to ECG,9.0,88.0
331302,Emergency Department,Median time to pain med,26.0,24.0
340017,Emergency Department,Left before being seen,4.0,31472.0
331311,Emergency Department,OP 18,119.0,334.0
340004,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,20.0
330350,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",4.0,78.0
340004,Emergency Department,OP 18,178.0,349.0
340001,Emergency Department,ED2,96.0,604.0
340016,Emergency Department,ED1,223.0,524.0
340020,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,91.0
331312,Emergency Department,Door to diagnostic eval,15.0,382.0
330350,Emergency Department,Left before being seen,2.0,61028.0
340013,Emergency Department,ED2,100.0,500.0
331313,Emergency Department,OP 18,88.0,106.0
331310,Emergency Department,ED2,46.0,168.0
330399,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,25.0
340016,Emergency Department,OP 18,135.0,351.0
331312,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,61.0
340013,Preventive Care,Immunization for influenza,99.0,338.0
340016,Heart Attack or Chest Pain,Median Time to ECG,9.0,113.0
331309,Emergency Department,Median time to pain med,98.0,11.0
330397,Emergency Department,OP 18,178.0,416.0
331304,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,21.0
331310,Heart Attack or Chest Pain,Median Time to ECG,10.0,89.0
340013,Emergency Department,Left before being seen,3.0,35854.0
340015,Emergency Department,Left before being seen,1.0,50248.0
330394,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,90.0,110.0
340020,Emergency Department,Head CT results,100.0,18.0
340020,Emergency Department,ED2,112.0,800.0
340008,Emergency Department,Door to diagnostic eval,58.0,389.0
340010,Heart Attack or Chest Pain,Median Time to ECG,5.0,261.0
331314,Emergency Department,Left before being seen,0.0,8442.0
331318,Emergency Department,ED1,287.0,367.0
331312,Heart Attack or Chest Pain,Median Time to ECG,7.0,62.0
340014,Cancer care,External Beam Radiotherapy for Bone Metastases,91.0,79.0
340015,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,100.0,62.0
331311,Emergency Department,Median time to pain med,43.0,68.0
340002,Emergency Department,ED1,320.0,501.0
330399,Emergency Department,Median time to pain med,98.0,178.0
340016,Emergency Department,Door to diagnostic eval,11.0,380.0
340017,Pregnancy and Delivery Care,"Percent of newborns whose deliveries were scheduled early (1-3 weeks early), when a scheduled delivery was not medically necessary",0.0,28.0
340008,Emergency Department,Head CT results,38.0,16.0
331317,Emergency Department,Left before being seen,2.0,11969.0
330401,Emergency Department,ED2,234.0,978.0
330350,Emergency Department,Median time to pain med,53.0,127.0
330399,Colonoscopy care,Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients,56.0,91.0
340015,Emergency Department,Door to diagnostic eval,13.0,481.0
331317,Emergency Department,OP 18,137.0,475.0
330401,Heart Attack or Chest Pain,Median Time to ECG,13.0,16.0
340032,Preventive Care,Immunization for influenza,98.0,566.0
330394,Emergency Department,ED2,126.0,865.0
330399,Preventive Care,Healthcare workers given influenza vaccination,85.0,3360.0
331313,Heart Attack or Chest Pain,Aspirin at Arrival,100.0,31.0
330394,Emergency Department,Left before being seen,6.0,60099.0
340004,Emergency Department,ED2,131.0,691.0
330399,Emergency Department,Door to diagnostic eval,54.0,358.0
340013,Emergency Department,OP 18,167.0,457.0
330395,Emergency Department,Left before being seen,2.0,45071.0
340001,Heart Attack or Chest Pain,Aspirin at Arrival,96.0,81.0
330395,Emergency Department,Median time to pain med,82.0,158.0
330394,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,4.0,27.0
340015,Preventive Care,Healthcare workers given influenza vaccination,98.0,1402.0
331317,Colonoscopy care,Endoscopy/polyp surveillance: colonoscopy interval for patients with a history of adenomatous polyps - avoidance of inappropriate use,98.0,52.0
330396,Emergency Department,Left before being seen,4.0,128765.0
331310,Heart Attack or Chest Pain,Aspirin at Arrival,99.0,86.0
330395,Emergency Department,OP 18,195.0,369.0
331317,Preventive Care,Immunization for influenza,94.0,278.0
340004,Blood Clot Prevention and Treatment,Hospital acquired potentially preventable venous thromboembolism,8.0,13.0
340013,Preventive Care,Healthcare workers given influenza vaccination,88.0,903.0
330403,Preventive Care,Healthcare workers given influenza vaccination,90.0,73.0
330399,Emergency Department,ED2,225.0,683.0
